Factura_O_Documento_Equivalente__288711530_752925207_0_1_png.rf.d088a20ca094c40a4aa396479b86184a.jpg,47,348,109,359,codigo
Factura_O_Documento_Equivalente__288711530_752925207_0_1_png.rf.d088a20ca094c40a4aa396479b86184a.jpg,604,348,674,360,valor_unitario
Factura_O_Documento_Equivalente__288711530_752925207_0_1_png.rf.d088a20ca094c40a4aa396479b86184a.jpg,739,349,757,360,cantidad
Factura_O_Documento_Equivalente__288711530_752925207_0_1_png.rf.d088a20ca094c40a4aa396479b86184a.jpg,847,408,914,422,total
Factura_O_Documento_Equivalente__288711530_752925207_0_1_png.rf.d088a20ca094c40a4aa396479b86184a.jpg,851,474,913,485,cuota_moderadora
Factura_O_Documento_Equivalente__288711530_752925207_0_1_png.rf.d088a20ca094c40a4aa396479b86184a.jpg,708,163,791,176,factura
Factura_O_Documento_Equivalente__288711530_752925207_0_1_png.rf.d088a20ca094c40a4aa396479b86184a.jpg,176,183,278,194,paciente
Factura_O_Documento_Equivalente__288711530_752925207_0_1_png.rf.d088a20ca094c40a4aa396479b86184a.jpg,853,457,917,470,copago
Factura_O_Documento_Equivalente__288711530_752925207_0_1_png.rf.d088a20ca094c40a4aa396479b86184a.jpg,153,293,237,303,autorizacion
Factura_O_Documento_Equivalente__288711530_752925207_0_1_png.rf.d088a20ca094c40a4aa396479b86184a.jpg,163,278,235,289,ingreso
Factura_O_Documento_Equivalente__288711249_752914363_0_1_png.rf.25e79194bab411d29e10f0d21f5a2b6a.jpg,163,289,235,301,ingreso
Factura_O_Documento_Equivalente__288711249_752914363_0_1_png.rf.25e79194bab411d29e10f0d21f5a2b6a.jpg,47,348,109,359,codigo
Factura_O_Documento_Equivalente__288711249_752914363_0_1_png.rf.25e79194bab411d29e10f0d21f5a2b6a.jpg,604,348,674,360,valor_unitario
Factura_O_Documento_Equivalente__288711249_752914363_0_1_png.rf.25e79194bab411d29e10f0d21f5a2b6a.jpg,739,349,757,360,cantidad
Factura_O_Documento_Equivalente__288711249_752914363_0_1_png.rf.25e79194bab411d29e10f0d21f5a2b6a.jpg,844,410,911,423,total
Factura_O_Documento_Equivalente__288711249_752914363_0_1_png.rf.25e79194bab411d29e10f0d21f5a2b6a.jpg,860,475,921,487,cuota_moderadora
Factura_O_Documento_Equivalente__288711249_752914363_0_1_png.rf.25e79194bab411d29e10f0d21f5a2b6a.jpg,708,163,791,176,factura
Factura_O_Documento_Equivalente__288711249_752914363_0_1_png.rf.25e79194bab411d29e10f0d21f5a2b6a.jpg,176,183,278,194,paciente
Factura_O_Documento_Equivalente__288711249_752914363_0_1_png.rf.25e79194bab411d29e10f0d21f5a2b6a.jpg,854,458,918,471,copago
Factura_O_Documento_Equivalente__288711249_752914363_0_1_png.rf.25e79194bab411d29e10f0d21f5a2b6a.jpg,153,304,225,314,autorizacion
Factura_O_Documento_Equivalente__288711250_752914420_0_1_png.rf.232a484965cb855a73d1823763717f85.jpg,163,289,235,301,ingreso
Factura_O_Documento_Equivalente__288711250_752914420_0_1_png.rf.232a484965cb855a73d1823763717f85.jpg,47,348,109,359,codigo
Factura_O_Documento_Equivalente__288711250_752914420_0_1_png.rf.232a484965cb855a73d1823763717f85.jpg,604,348,674,360,valor_unitario
Factura_O_Documento_Equivalente__288711250_752914420_0_1_png.rf.232a484965cb855a73d1823763717f85.jpg,739,349,757,360,cantidad
Factura_O_Documento_Equivalente__288711250_752914420_0_1_png.rf.232a484965cb855a73d1823763717f85.jpg,847,420,914,434,total
Factura_O_Documento_Equivalente__288711250_752914420_0_1_png.rf.232a484965cb855a73d1823763717f85.jpg,860,486,922,497,cuota_moderadora
Factura_O_Documento_Equivalente__288711250_752914420_0_1_png.rf.232a484965cb855a73d1823763717f85.jpg,708,163,791,176,factura
Factura_O_Documento_Equivalente__288711250_752914420_0_1_png.rf.232a484965cb855a73d1823763717f85.jpg,176,183,278,194,paciente
Factura_O_Documento_Equivalente__288711250_752914420_0_1_png.rf.232a484965cb855a73d1823763717f85.jpg,861,469,926,482,copago
Factura_O_Documento_Equivalente__288711250_752914420_0_1_png.rf.232a484965cb855a73d1823763717f85.jpg,153,304,229,314,autorizacion
Factura_O_Documento_Equivalente__288711473_752923085_0_1_png.rf.8e6d9d72073bcdc2f9f9e9d2fd79e650.jpg,47,348,122,359,codigo
Factura_O_Documento_Equivalente__288711473_752923085_0_1_png.rf.8e6d9d72073bcdc2f9f9e9d2fd79e650.jpg,604,348,674,360,valor_unitario
Factura_O_Documento_Equivalente__288711473_752923085_0_1_png.rf.8e6d9d72073bcdc2f9f9e9d2fd79e650.jpg,739,349,757,360,cantidad
